filename; cmd; time
lake-edhoc-KEM.spthy; RESULT not (event(AcceptR(cid_2,method_zero,pkI_2,pkR_2,k3,ko,e1,e2))@i && event(Honest(pkI_2))@j && event(Honest(pkR_2))@l) is false. RESULT not (event(AcceptI(cid_2,method_zero,pkI_2,pkR_2,k3,k4,ko,e1,e2))@i && event(Honest(pkI_2))@j && event(Honest(pkR_2))@l) is false. ; 1;
lake-edhoc-KEM-Sig.spthy; RESULT not (event(AcceptR(cid_2,method_zero,pkI_2,pkR_2,k3,ko,e1_1,e2_1))@i && event(Honest(pkI_2))@j && event(Honest(pkR_2))@l) is false. RESULT not (event(AcceptI(cid_2,method_zero,pkI_2,pkR_2,k3,k4,ko,e1_1,e2_1))@i && event(Honest(pkI_2))@j && event(Honest(pkR_2))@l) is false. ; 0;
lake-edhoc.spthy; RESULT not event(AcceptR(cid_2,method_one,pkI_8,pkR_8,k3,ko,e1,e2))@i is false. RESULT not event(AcceptR(cid_2,method_two,pkI_8,pkR_8,k3,ko,e1,e2))@i is false. RESULT not event(AcceptR(cid_2,method_three,pkI_8,pkR_8,k3,ko,e1,e2))@i is false. RESULT not event(AcceptI(cid_2,method_one,pkI_8,pkR_8,k3,k4,ko,e1,e2))@i is false. RESULT not event(AcceptI(cid_2,method_two,pkI_8,pkR_8,k3,k4,ko,e1,e2))@i is false. RESULT not event(AcceptI(cid_2,method_three,pkI_8,pkR_8,k3,k4,ko,e1,e2))@i is false. RESULT not (event(AcceptR(cid_2,method_zero,pkI_8,pkR_8,k3,ko,e1,e2))@i && event(Honest(pkI_8))@j && event(Honest(pkR_8))@l) is false. RESULT not (event(AcceptI(cid_2,method_zero,pkI_8,pkR_8,k3,k4,ko,e1,e2))@i && event(Honest(pkI_8))@j && event(Honest(pkR_8))@l) is false. ; 23;
lake-edhoc-Sig-DDH.spthy; RESULT not event(AcceptR(cid_2,method_one,pkI_8,pkR_8,k3,ko,e1_1,e2_1))@i is false. RESULT not event(AcceptR(cid_2,method_two,pkI_8,pkR_8,k3,ko,e1_1,e2_1))@i is false. RESULT not event(AcceptR(cid_2,method_three,pkI_8,pkR_8,k3,ko,e1_1,e2_1))@i is false. RESULT not event(AcceptI(cid_2,method_one,pkI_8,pkR_8,k3,k4,ko,e1_1,e2_1))@i is false. RESULT not event(AcceptI(cid_2,method_two,pkI_8,pkR_8,k3,k4,ko,e1_1,e2_1))@i is false. RESULT not event(AcceptI(cid_2,method_three,pkI_8,pkR_8,k3,k4,ko,e1_1,e2_1))@i is false. RESULT not (event(AcceptR(cid_2,method_zero,pkI_8,pkR_8,k3,ko,e1_1,e2_1))@i && event(Honest(pkI_8))@j && event(Honest(pkR_8))@l) is false. RESULT not (event(AcceptI(cid_2,method_zero,pkI_8,pkR_8,k3,k4,ko,e1_1,e2_1))@i && event(Honest(pkI_8))@j && event(Honest(pkR_8))@l) is false. ; 108;
